Year,home team name,Home Team Goals,Away Team Goals,away team name
2014,brazil,3,1,croatia
2014,mexico,1,0,cameroon
2014,spain,1,5,netherlands
2014,chile,3,1,australia
2014,colombia,3,0,greece
2014,uruguay,1,3,costa-rica
2014,england,1,2,italy
2014,cote-d-ivoire,2,1,japan
2014,switzerland,2,1,ecuador
2014,france,3,0,honduras
2014,argentina,2,1,bosnia-herzegovina
2014,germany,4,0,portugal
2014,iran,0,0,nigeria
2014,ghana,1,2,usa
2014,belgium,2,1,algeria
2014,brazil,0,0,mexico
2014,russia,1,1,south-korea
2014,australia,2,3,netherlands
2014,spain,0,2,chile
2014,cameroon,0,4,croatia
2014,colombia,2,1,cote-d-ivoire
2014,uruguay,2,1,england
2014,japan,0,0,greece
2014,italy,0,1,costa-rica
2014,switzerland,2,5,france
2014,honduras,1,2,ecuador
2014,argentina,1,0,iran
2014,germany,2,2,ghana
2014,nigeria,1,0,bosnia-herzegovina
2014,belgium,1,0,russia
2014,south-korea,2,4,algeria
2014,usa,2,2,portugal
2014,australia,0,3,spain
2014,netherlands,2,0,chile
2014,cameroon,1,4,brazil
2014,croatia,1,3,mexico
2014,italy,0,1,uruguay
2014,costa-rica,0,0,england
2014,japan,1,4,colombia
2014,greece,2,1,cote-d-ivoire
2014,nigeria,2,3,argentina
2014,bosnia-herzegovina,3,1,iran
2014,honduras,0,3,switzerland
2014,ecuador,0,0,france
2014,usa,0,1,germany
2014,portugal,2,1,ghana
2014,south-korea,0,1,belgium
2014,algeria,1,1,russia
2014,brazil,1,1,chile
2014,colombia,2,0,uruguay
2014,netherlands,2,1,mexico
2014,costa-rica,1,1,greece
2014,france,2,0,nigeria
2014,germany,2,1,algeria
2014,argentina,1,0,switzerland
2014,belgium,2,1,usa
2014,france,0,1,germany
2014,brazil,2,1,colombia
2014,argentina,1,0,belgium
2014,netherlands,0,0,costa-rica
2014,brazil,1,7,germany
2014,netherlands,0,0,argentina
2014,brazil,0,3,netherlands
2014,germany,1,0,argentina
